approach_id,sample_id,management_id,side_label,lat,lon,center_lat,center_lon,source_scope,public_state,public_curb_lowering,public_tactile,geometry_quality,road_snap_distance_m,crosswalk_length_m,crosswalk_width_m,double_review_required,review_status,reviewer_1,review_1_date,review_1_curb,review_1_tactile,review_1_obstacle,review_1_result,review_1_note,reviewer_2,review_2_date,review_2_curb,review_2_tactile,review_2_obstacle,review_2_result,review_2_note,adjudication,ai_candidate_label,ai_confidence,ai_human_approved,evidence_date,evidence_url,ai_precheck_result,ai_precheck_note,ai_precheck_pass2_status
CW31-A,CW31,2025085012,A,37.39032369675492,126.92520600321222,37.39034431,126.9252755,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.34,13.11,5.94,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 11:57:23,"https://map.kakao.com/link/roadview/37.3903237,126.9252060",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,비대상
CW31-B,CW31,2025085012,B,37.39036492324509,126.92534499678776,37.39034431,126.9252755,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.34,13.11,5.94,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 13:29:46,"https://map.kakao.com/link/roadview/37.3903649,126.9253450",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,비대상
CW32-A,CW32,2025085025,A,37.390048790568265,126.9242948447004,37.39008527,126.9242767,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.42,8.68,5.87,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 13:29:35,"https://map.kakao.com/link/roadview/37.3900488,126.9242948",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,완료
CW32-B,CW32,2025085025,B,37.39012174943174,126.92425855529957,37.39008527,126.9242767,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.42,8.68,5.87,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 13:29:34,"https://map.kakao.com/link/roadview/37.3901217,126.9242586",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW33-A,CW33,2025085001,A,37.389982227292826,126.9254940088399,37.389999,126.9254801,asset_level_inherited_not_endpoint_verified,public_explicit_risk,있음,없음,provisional_high,0.67,4.45,1.97,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-17 15:39:09,"https://map.kakao.com/link/roadview/37.3899822,126.9254940",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW33-B,CW33,2025085001,B,37.39001577270718,126.9254661911601,37.389999,126.9254801,asset_level_inherited_not_endpoint_verified,public_explicit_risk,있음,없음,provisional_high,0.67,4.45,1.97,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-17 15:39:09,"https://map.kakao.com/link/roadview/37.3900158,126.9254662",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW34-A,CW34,2025085002,A,37.389622186729625,126.92548561896953,37.38963959,126.92555,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.29,12.02,6.05,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 13:10:05,"https://map.kakao.com/link/roadview/37.3896222,126.9254856",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW34-B,CW34,2025085002,B,37.38965699327038,126.92561438103047,37.38963959,126.92555,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.29,12.02,6.05,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 11:57:08,"https://map.kakao.com/link/roadview/37.3896570,126.9256144",unknown,AI 반복판독 불일치(unknown↔pass); 사람 조정 필요,완료
CW35-A,CW35,2025085003,A,37.38956545502662,126.92568254442703,37.38960031,126.9256616,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.14,8.55,2.0,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 11:57:07,"https://map.kakao.com/link/roadview/37.3895655,126.9256825",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,비대상
CW35-B,CW35,2025085003,B,37.38963516497338,126.92564065557295,37.38960031,126.9256616,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,1.14,8.55,2.0,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-17 11:57:08,"https://map.kakao.com/link/roadview/37.3896352,126.9256407",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW36-A,CW36,2025085005,A,37.389460889905884,126.92553763921738,37.38949465,126.9254971,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.6,10.35,5.99,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 13:10:05,"https://map.kakao.com/link/roadview/37.3894609,126.9255376",unknown,AI 반복판독 불일치(pass↔unknown); 사람 조정 필요,완료
CW36-B,CW36,2025085005,B,37.389528410094115,126.92545656078262,37.38949465,126.9254971,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.6,10.35,5.99,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-17 13:10:05,"https://map.kakao.com/link/roadview/37.3895284,126.9254566",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,완료
CW37-A,CW37,2025085004,A,37.38942767602712,126.92561176972762,37.38944098,126.925658,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.45,8.69,4.98,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,occlusion_review_needed,0.52,,2025-11-17 11:57:06,"https://map.kakao.com/link/roadview/37.3894277,126.9256118",unknown,차량·적치물 또는 공사물로 핵심 시설이 가려짐,비대상
CW37-B,CW37,2025085004,B,37.38945428397289,126.92570423027236,37.38944098,126.925658,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,0.45,8.69,4.98,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,visibility_review_needed,0.52,,2025-11-17 11:57:06,"https://map.kakao.com/link/roadview/37.3894543,126.9257042",unknown,착지부가 카메라 직하부·화면 밖에 있어 핵심 시설을 확인할 수 없음,비대상
CW38-A,CW38,2025085007,A,37.389248330727646,126.92520180052233,37.38927498,126.9251698,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,3.15,8.17,4.01,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 13:10:10,"https://map.kakao.com/link/roadview/37.3892483,126.9252018",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW38-B,CW38,2025085007,B,37.38930162927237,126.9251377994777,37.38927498,126.9251698,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,3.15,8.17,4.01,True,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 13:10:10,"https://map.kakao.com/link/roadview/37.3893016,126.9251378",pass,경사로와 점자블록이 보이고 통행공간이 열려 있음,완료
CW39-A,CW39,2025085006,A,37.38924455741109,126.92509509723544,37.38927212,126.925062,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,9.52,8.45,2.98,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-17 13:10:11,"https://map.kakao.com/link/roadview/37.3892446,126.9250951",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW39-B,CW39,2025085006,B,37.38929968258892,126.92502890276454,37.38927212,126.925062,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,9.52,8.45,2.98,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-17 13:10:11,"https://map.kakao.com/link/roadview/37.3892997,126.9250289",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
CW40-A,CW40,2025085008,A,37.38914772596454,126.92506392218567,37.38917431,126.925032,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,3.56,8.15,4.0,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,likely_accessible_candidate,0.82,,2025-11-17 13:10:12,"https://map.kakao.com/link/roadview/37.3891477,126.9250639",pass,착지부 가장자리에서 점자블록과 낮춤부가 보임,비대상
CW40-B,CW40,2025085008,B,37.38920089403547,126.92500007781435,37.38917431,126.925032,asset_level_inherited_not_endpoint_verified,public_explicit_present,있음,있음,provisional_high,3.56,8.15,4.0,False,ai_precheck_complete_pending_human_review,,,,,,,,,,,,,,,,geometry_mismatch_candidate,0.58,,2025-11-17 13:10:12,"https://map.kakao.com/link/roadview/37.3892009,126.9250001",unknown,접근부 추정점과 영상의 실제 횡단 착지부가 정합하지 않음,비대상
